section,item,type,help,required,critical,weight,min,max,unit,options,failing options,photo,photo on fail,note on fail,raise action,status
VISIT,Time in,text,,no,,,,,,,,,,,,
ANSWERING THE PHONE - CALL THE STORE PRIOR TO VISIT,"Did they answer the phone (if necessary, follow the prompts to speak to a Team Member in the store)?",pass fail,,yes,no,1,,,,,,,,yes,yes,
ANSWERING THE PHONE - CALL THE STORE PRIOR TO VISIT,Good phone etiquette?,pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,Is the exterior sign functional and in good repair?,pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,Photo of exterior sign,photo,,no,,,,,,,,,,,,
EXTERIOR & DINING AREA,Is the open sign on?,pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,Was the store front and sidewalk well-kept and free of debris?,pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,"General Atmosphere of Store (Music, Lighting, Temperature, Aroma, Etc.)?",pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,Dining Area Clean and free of debris?,pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,"Were the Chip Racks, Dessert Display, and Soda Cooler Stocked?",pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,Drink Station Clean and Stocked?,pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,Photo of dining area,photo,,no,,,,,,,,,,,,
EXTERIOR & DINING AREA,Restrooms Clean and Stocked?,pass fail,,yes,no,1,,,,,,,,yes,yes,
EXTERIOR & DINING AREA,Toilets Functioning Properly (No running),pass fail,,yes,no,1,,,,,,,,yes,yes,
"FRONT LINE, DIGITAL LINE, GRILL AREA",Meat Case Clean and Stocked?,pass fail,,yes,no,1,,,,,,,,yes,yes,
"FRONT LINE, DIGITAL LINE, GRILL AREA",Photo of meat case from customer side,photo,,no,,,,,,,,,,,,
"FRONT LINE, DIGITAL LINE, GRILL AREA",Was the Slicer Clean and Presentable?,pass fail,,yes,no,1,,,,,,,,yes,yes,
"FRONT LINE, DIGITAL LINE, GRILL AREA",Photo of slicer from customer side,photo,,no,,,,,,,,,,,,
"FRONT LINE, DIGITAL LINE, GRILL AREA","Front Line Clean, and Stocked?",pass fail,,yes,no,1,,,,,,,,yes,yes,
"FRONT LINE, DIGITAL LINE, GRILL AREA",Photo of drop-in from customer side,photo,,no,,,,,,,,,,,,
"FRONT LINE, DIGITAL LINE, GRILL AREA","Digital Line Clean, Stocked, and In Use?",pass fail,,yes,no,1,,,,,,,,yes,yes,
"FRONT LINE, DIGITAL LINE, GRILL AREA",Photo of digital line,photo,,no,,,,,,,,,,,,
"FRONT LINE, DIGITAL LINE, GRILL AREA","Grill Area Clean, Stocked, and In Use?",pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,"Are all products available for customers to order? (All breads, cookies, hot subs, tea, etc.)",pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Bread Quality and Quantity good?,pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Produce Quality and Quantity good?,pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Bacon Quality and Quantity good?,pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Cookie Quality and Quantity good?,pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Are digital orders prepared neatly and correctly?,pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Digital orders completed on time?,pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Was the front line free of any online order tickets?,pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Sandwich weight check,text,Weight can't be less than actual weight and no more than .50 ounces over actual weight. Note the sandwich checked and its weight.,no,,,,,,,,,,,,
PRODUCT,Were sandwiches made to proper specifications?,pass fail,,yes,no,1,,,,,,,,yes,yes,
PRODUCT,Picture of Sandwich Profile,photo,,no,,,,,,,,,,,,
TEAM,Are Team Members (specifically the Slicer) greeting customers & drivers?,pass fail,,yes,no,1,,,,,,,,yes,yes,
TEAM,Are Team Members adhering to Uniform and Hygiene standards?,pass fail,,yes,no,1,,,,,,,,yes,yes,
TEAM,Do Team Members move with a Sense of Urgency?,pass fail,,yes,no,1,,,,,,,,yes,yes,
TEAM,Do Team Members suggestive sell and ask about / offer Shore Points?,pass fail,,yes,no,1,,,,,,,,yes,yes,
TEAM,"Are Team Members friendly and approachable, providing good customer service?",pass fail,,yes,no,1,,,,,,,,yes,yes,
TEAM,Are Team Members (specifically the Cashier) thanking customers & drivers?,pass fail,,yes,no,1,,,,,,,,yes,yes,
BACKROOM,Food Labeled Properly,pass fail,,yes,no,1,,,,,,,,yes,yes,
BACKROOM,Checklists Completed,pass fail,,yes,no,1,,,,,,,,yes,yes,
BACKROOM,Production Pro Chart Filled Out,pass fail,,yes,no,1,,,,,,,,yes,yes,
BACKROOM,Photo of backroom,photo,,no,,,,,,,,,,,,
SUMMARY,"For any questions answered ""No"" please explain why",text,,no,,,,,,,,,,,,
SUMMARY,Time out,text,,no,,,,,,,,,,,,
