section,item,type,help,required,critical,weight,min,max,unit,options,failing options,photo,photo on fail,note on fail,raise action,status
OUTSIDE/DINING ROOMS · Outside,Side Walk,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Outside,Trash/ Debris,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Outside,Windows,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Outside,Window Signage,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Outside,Window Ledges,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Outside,Door Handle,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Outside,Door Frame,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Outside,Exterior Signage,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Table Area,Table Tops,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Table Area,Table Bases,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Table Area,Chair Seats,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Table Area,Chair Legs,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Table Area,Chair Backs,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Table Area,Napkin Dispensers/Inserts,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Soda Case,Top/Side/Rear,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Soda Case,Door Frame,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Soda Case,Door Handle,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Soda Case,Door Gasket,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Soda Case,Interior,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Soda Case,Shelving,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Soda Case,Condenser Vent,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Soda Case,Bottles Being FIFO,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Beverage Counter,Ice Machine,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Beverage Counter,Tea Brewer,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Beverage Counter,Tea Urns,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Beverage Counter,Tea Nozzle,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Beverage Counter,Ice Machine Condenser Filter,pass fail,,yes,no,1,,,,,,,,yes,yes,
OUTSIDE/DINING ROOMS · Beverage Counter,Pepsi Machine Light Working,pass fail,,yes,no,1,,,,,,,,yes,yes,
